Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-08-31,216.24391174316406,219.28338679296542,215.07414347409025,217.6533863849085,28774200
2020-09-01,217.91226196289062,218.08484351953646,215.18918659263025,216.22471982405065,25725500
2020-09-02,222.1118927001953,223.27207784363668,217.988955284057,218.58342233595312,34080800
2020-09-03,208.35275268554688,219.86823993863055,206.1091048649001,219.82989336183493,58400300
2020-09-04,205.4282989501953,209.36907110454203,196.74134498541193,206.24330622180557,59664100
2020-09-08,194.31558227539062,201.38212163532663,193.87451610130367,197.99746873966137,52924300
2020-09-09,202.59024047851562,205.99407404758168,198.18923479231876,199.05218655053474,45679000
2020-09-10,196.9139862060547,205.89819099640295,195.7058713556004,204.61335372056834,35461500
2020-09-11,195.629150390625,200.03975320004756,192.95403389095713,198.66862523374073,33620100
2020-09-14,196.9523468017578,200.5862889601672,195.62916294789403,195.83052273759688,30375800
2020-09-15,200.18357849121094,201.14240395179937,198.40974553691618,199.83840074017849,21823900
2020-09-16,196.60716247558594,201.97657624532405,196.2140405277088,201.94781265211503,26328100
2020-09-17,194.55528259277344,195.9168130252524,191.72675033928823,191.813041121579,34011300
2020-09-18,192.1390380859375,195.26480389569204,188.16950116879477,194.4498110128883,55225300
2020-09-21,194.2004852294922,194.36349841827462,188.29413203216168,189.0707782458869,39839700
2020-09-22,198.87953186035156,199.53154063907363,193.75940852995475,196.6167036821613,33517100
2020-09-23,192.33074951171875,199.5315363576884,191.79380972341724,199.33975960714193,30803800
2020-09-24,194.82373046875,197.10573954514186,190.9980119519485,191.62125722458802,31202500
2020-09-25,199.26307678222656,200.4328301641657,194.20046584197692,195.16888873864514,29437300
2020-09-28,200.81639099121094,203.81751912826357,199.4932072780414,202.19710188660275,32004900
2020-09-29,198.72613525390625,201.4204467564283,198.29466677580942,200.73009133926791,24221900
2020-09-30,201.6697235107422,203.25177937534346,198.03576749541497,199.1767719229634,33829100
2020-10-01,203.7120361328125,205.17903771787337,202.61897584138453,204.69962505267665,27158400
2020-10-02,197.70018005371094,202.30254416620252,197.07693486474676,199.43565141019656,33154800
2020-10-05,201.7177276611328,201.7464912577291,198.45771195188877,198.68783535517613,21331600
2020-10-06,197.43174743652344,201.52592148106075,196.386631231085,200.22193294397314,28554300
2020-10-07,201.1903533935547,201.45882335907402,198.2084055482004,198.5344027019716,25681100
2020-10-08,201.90945434570312,202.4943384245125,199.7425142102119,201.84232954510335,19925800
2020-10-09,206.92410278320312,206.972046978275,202.53268078997917,202.53268078997917,26458000
2020-10-12,212.28395080566406,214.64266787262275,207.88294545944655,209.78141577203766,40461400
2020-10-13,213.68382263183594,215.93706810447387,211.35386937390456,213.54958766520096,28950800
2020-10-14,211.76617431640625,214.98782818305753,210.107410503166,213.818060047335,23421700
2020-10-15,210.61561584472656,211.2867907781944,207.1158939415105,208.16102487060638,22733100
2020-10-16,210.61561584472656,213.1373169969354,210.28961868140166,211.0854309828959,26057900
2020-10-19,205.3996124267578,213.14692469941656,204.92019964724068,211.34432796666675,27625800
2020-10-20,205.8118438720703,208.41984984684413,204.3160787516439,206.91450174044525,22753500
2020-10-21,205.95570373535156,207.98840894984195,204.3448694172439,204.3448694172439,22724900
2020-10-22,206.0419921875,207.16381616381312,202.98333678251518,205.12151335460695,22351500
2020-10-23,207.32681274414062,207.37475694038199,204.38322636550816,206.17622518692104,18879600
2020-10-26,201.4300537109375,207.4322958032438,199.53158340310517,205.04482977945148,37111600
2020-10-27,204.46949768066406,205.83102786735438,201.6697295267006,202.8778441522253,36700300
2020-10-28,194.33474731445312,200.24111596647438,193.77864139359238,199.11929187560776,51195600
2020-10-29,196.29074096679688,198.82203948797712,194.9963207988178,195.66751029659352,31432600
2020-10-30,194.13339233398438,195.87844706580935,191.40073391687426,195.12098138875402,36953700
2020-11-02,193.99916076660156,196.8276930012866,191.8801500222791,195.87845051085,30842200
2020-11-03,197.93032836914062,199.55074570208873,194.7566185066281,195.49491819127326,27512000
2020-11-04,207.48023986816406,209.33078060637555,203.67370163686078,205.2078282188854,42311800
2020-11-05,214.0961456298828,214.89197257348812,212.04425958594837,212.8976137203296,36080100
2020-11-06,214.5084228515625,215.12207053147654,209.05270390346763,213.10853130929766,25231900
2020-11-09,209.39785766601562,218.72722378232297,208.90886202770187,215.1987536843843,44395000
2020-11-10,202.32176208496094,207.5857193104424,201.08488363596544,205.66806832374087,44045100
2020-11-11,207.63363647460938,209.06227691014422,203.46274026943215,203.64491943032922,29440800
2020-11-12,206.56932067871094,210.0882077008986,205.62967600078795,208.26644552097468,21593900
2020-11-13,207.5952911376953,208.46782580105932,205.34206012776832,207.451473173631,18621100
2020-11-16,208.28562927246094,208.774639570567,205.6872207347565,206.0228008331187,24953300
2020-11-17,205.6297149658203,208.71711949260344,205.26535660858772,207.20218813788108,24154100
2020-11-18,202.918701171875,206.85055988649998,202.77449204411337,205.38932580431373,28372800
2020-11-19,204.2069854736328,204.79340100348278,201.81325362185393,203.20720251673302,24792700
2020-11-20,202.2554168701172,205.04328452616463,201.880496534734,203.99543213609604,22843100
2020-11-23,201.9862518310547,204.08195669194225,200.11165008190773,202.79377032779195,25683500
2020-11-24,205.5912322998047,205.96615259759372,200.7845542928597,201.48632517460484,33979700
2020-11-25,205.60084533691406,206.96594016357292,204.24537325454432,206.79290679217922,21012900
2020-11-27,206.90826416015625,207.90806143290217,205.76427241000349,206.54296659445313,14512200
2020-11-30,205.7931365966797,206.4564458958065,202.6880117806121,205.82197549364963,33064800
2020-12-01,207.8504180908203,208.91750140694066,205.10099713830965,206.2161355089851,30904500
2020-12-02,207.04286193847656,207.13900137457546,204.5722368539739,206.5718168405199,23724500
2020-12-03,205.9565887451172,208.01384678706904,205.38938947020824,206.31227829998286,25120900
2020-12-04,206.0718994140625,207.05246583148178,204.93751578041724,205.93731301706904,24666000
2020-12-07,206.00465393066406,207.2063237495132,204.75492905411778,206.08156255932892,24620000
2020-12-08,207.65814208984375,208.5618000941319,204.65877907035144,205.69702350067269,23284100
2020-12-09,203.6109161376953,206.90829074108822,203.04373156194043,206.8410048659269,32440600
2020-12-10,202.38040161132812,204.84141872855034,202.22658437429695,203.58207127159827,26733300
2020-12-11,205.01443481445312,205.07212727508463,201.02489774661876,201.9285556018802,30979400
2020-12-14,205.91806030273438,207.8503540376734,204.64910507583977,204.86060005845812,28798400
2020-12-15,205.85076904296875,207.09088534594102,204.03384559002814,206.85055147825673,27000600
2020-12-16,210.8016815185547,211.59959187346084,206.41799327328266,206.4468321694633,35023300
2020-12-17,210.9362335205078,212.34939787814724,209.49423027139127,211.36883156147965,32515800
2020-12-18,210.1383514404297,211.19582649894002,207.66772650382657,210.1383514404297,63354900
2020-12-21,213.9837188720703,215.33920578615155,208.87902843906147,209.1385931961624,37181900
2020-12-22,215.2815399169922,216.9061997548191,213.27235162934048,214.0798701752646,22612200
2020-12-23,212.47439575195312,214.9161816910204,212.26290074910276,214.48358361021448,18699600
2020-12-24,214.13751220703125,214.96426143799516,212.64743904242195,212.85893405514418,10550600
